  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy Lig_wrt_Protein  Lig_wrt_Ligand
        44      1.300           1.309           2.292           1.716           2.132           0.465
        45      1.445           1.451           2.372           1.820           2.031           0.489
        46      1.320           1.339           2.310           1.746           2.117           0.497
        47      1.336           1.355           2.327           1.763           1.872           0.322
        48      1.415           1.421           2.437           1.839           2.233           0.412
        49      1.269           1.275           2.277           1.692           2.056           0.242
        50      1.347           1.370           2.322           1.757           2.147           0.547
        51      1.336           1.349           2.382           1.796           2.131           0.560
        52      1.472           1.497           2.515           1.935           2.252           0.543
        53      1.468           1.482           2.461           1.888           2.309           0.631
        54      1.464           1.481           2.393           1.853           2.184           0.438
        55      1.474           1.487           2.452           1.914           2.309           0.505
        56      1.482           1.509           2.503           1.935           2.413           0.922
        57      1.396           1.416           2.422           1.854           1.885           0.697
        58      1.342           1.358           2.429           1.817           2.034           0.881
        59      1.306           1.330           2.340           1.754           2.220           0.737
        60      1.384           1.411           2.396           1.820           1.873           0.768
        61      1.336           1.348           2.424           1.817           2.208           0.706
        62      1.278           1.301           2.319           1.740           1.890           0.661
        63      1.212           1.248           2.286           1.690           1.204           0.553
        64      1.300           1.337           2.338           1.751           1.675           0.707
        65      1.252           1.274           2.339           1.726           1.549           0.492
        66      1.302           1.323           2.401           1.805           1.718           0.732
        67      1.278           1.303           2.283           1.710           1.551           0.511
        68      1.206           1.233           2.323           1.715           1.650           0.736
        69      1.395           1.411           2.427           1.847           2.037           0.874
        70      1.271           1.290           2.357           1.752           1.989           0.797
        71      1.515           1.537           2.533           1.961           2.258           0.867
        72      1.401           1.432           2.408           1.846           1.975           0.843
        73      1.639           1.654           2.598           2.066           1.969           0.592
        74      1.491           1.503           2.541           1.977           1.885           0.472
        75      1.652           1.658           2.698           2.117           1.986           0.503
        76      1.543           1.561           2.617           2.024           1.394           0.321
        77      1.924           1.930           2.814           2.304           1.479           0.507
        78      1.653           1.660           2.620           2.065           1.364           0.392
        79      1.535           1.554           2.492           1.949           1.277           0.478
        80      1.521           1.530           2.486           1.936           1.367           0.555
        81      1.630           1.634           2.539           2.010           1.617           0.418
        82      1.411           1.415           2.479           1.879           1.526           0.474
        83      1.611           1.618           2.587           2.047           1.455           0.533
        84      1.686           1.677           2.682           2.135           2.322           0.534
        85      1.821           1.811           2.713           2.207           1.901           0.603
        86      1.844           1.838           2.709           2.220           2.456           0.697
        87      1.650           1.642           2.607           2.076           2.163           0.673
