## Torsion are defined with the following atomIDs:
# dihed1: ai= 5185 aj= 3156 ak= 3178 al= 3155
# dihed2: ai= 3156 aj= 3178 ak= 3153 al= 3169
# dihed3: ai= 3152 aj= 3167 ak= 3166 al= 3165
# dihed4: ai= 3170 aj= 3168 ak= 3172 al= 3175
# dihed5: ai= 3162 aj= 3161 ak= 3157 al= 3151
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5
242  -55.293 -124.471   80.624  136.589  -57.970
243  -43.746  -97.792   71.819  146.838  -55.151
244  -61.774 -129.867   76.604  150.659  -67.434
245  -41.525  -91.073   78.487  150.896  -52.956
246  -22.502 -105.471   71.329  142.441  -63.325
247  -64.852 -122.954   54.431  132.705  -50.085
248  -50.643 -120.283   79.549  131.165  -69.214
249  -50.978 -107.079   59.515  145.230  -55.678
250  -38.662 -122.445   89.243  128.248  -58.534
251  -31.305 -103.449   59.019  147.991  -57.440
252  -55.116 -124.421   64.578  157.569  -57.954
253  -67.464 -113.335   84.893  153.824  -60.600
254  -62.803  -97.608   66.212  152.319  -70.321
255  -58.706 -121.276   73.885  136.537  -65.648
256  -35.377 -107.370   71.636  138.961  -54.569
257  -49.047 -102.445   68.852  142.830  -80.618
258  -54.793 -114.897   66.827  155.624  -69.986
259  -41.191 -101.360   74.554  136.901  -67.739
260  -57.014 -107.619   59.046  152.972  -57.538
261  -45.107  -92.620   64.932  140.743  -66.945
262  -45.035  -94.453   74.398  150.857  -65.179
263  -53.254  -96.409   72.001  141.905  -57.888
264  -68.403 -123.364   74.925  141.549  -60.831
265  -28.637  -97.883   61.950  146.491  -58.632
266  -48.187 -116.062   78.018  158.274  -67.983
267  -49.397 -106.055   84.461  134.703  -57.841
268  -36.362 -103.784   74.349  133.364  -54.297
269  -40.831 -105.319   54.150  148.894  -52.463
270  -48.929 -107.012   70.891  143.344  -67.914
271  -47.547 -119.715   74.462  136.040  -60.542
272  -53.641 -113.454   70.560  146.768  -59.280
273  -57.378 -104.933   84.115  150.807  -54.164
274  -67.219 -116.024   92.538  141.424  -61.017
275  -61.070 -111.246   77.264  156.282  -43.512
276  -35.834 -117.575   65.598  164.035  -64.091
277  -57.271 -116.841   78.159  149.653  -52.237
278  -49.527 -123.181   87.176  141.295  -69.461
279  -57.239 -130.947   69.461  129.760  -72.045
280  -64.346 -131.761   69.007  142.301  -57.166
