  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      172        0.592        4.645            0      427.853      248.265      213.929
      173        0.622        4.649            0      425.024      239.783      201.075
      174        0.481        4.660            1      424.905      236.422      203.366
      175        0.573        4.647            0      424.488      240.900      210.794
      176        0.717        4.640            0      423.089      235.925      205.080
      177        0.622        4.644            0      427.016      254.770      208.748
      178        0.901        4.652            0      423.007      213.357      213.893
      179        0.776        4.673            0      424.949      243.750      198.866
      180        0.709        4.670            1      425.400      242.628      201.795
      181        0.651        4.671            0      424.185      209.065      200.924
      182        0.802        4.695            0      426.050      235.793      193.229
      183        0.708        4.643            0      423.665      199.544      202.247
      184        0.808        4.675            1      426.737      234.101      203.470
      185        0.966        4.695            0      422.446      232.176      194.775
      186        0.761        4.682            0      422.102      265.598      198.058
      187        0.646        4.687            1      422.369      272.090      198.360
      188        0.899        4.666            0      421.921      298.694      197.957
      189        0.866        4.697            1      426.193      283.679      197.443
      190        0.788        4.667            0      425.287      315.263      202.464
      191        0.763        4.685            0      427.386      291.649      201.157
      192        0.546        4.724            1      426.708      307.290      200.716
      193        0.801        4.703            0      425.988      286.567      198.400
      194        0.873        4.698            0      427.147      270.374      206.693
      195        0.984        4.618            1      425.772      269.761      199.041
      196        0.913        4.721            1      428.360      290.272      203.687
      197        0.905        4.647            0      424.499      235.718      200.327
      198        0.897        4.647            1      424.865      281.011      203.061
      199        0.817        4.759            1      428.414      264.132      201.036
      200        0.961        4.750            0      426.930      283.200      201.526
      201        0.817        4.688            1      427.391      315.996      197.537
      202        0.846        4.689            1      426.882      269.111      203.467
      203        0.976        4.679            1      426.734      267.581      197.982
      204        0.676        4.707            0      429.724      251.354      200.892
      205        0.793        4.673            0      423.727      283.985      200.569
      206        0.816        4.659            0      423.575      262.817      203.098
      207        0.724        4.648            1      420.093      242.348      201.483
      208        0.852        4.712            1      425.146      265.262      203.144
      209        0.826        4.656            1      425.201      233.123      203.606
      210        0.602        4.723            0      425.087      262.364      206.890
      211        0.784        4.768            0      428.066      244.159      205.185
      212        0.882        4.678            0      424.943      229.765      199.705
      213        0.700        4.703            1      426.824      271.867      202.381
      214        0.693        4.694            1      425.351      291.695      198.173
      215        0.783        4.725            1      425.165      255.031      193.669
      216        0.831        4.628            0      423.818      284.782      203.263
      217        0.651        4.732            0      427.802      273.084      204.149
      218        0.712        4.660            0      419.752      216.703      201.270
      219        0.819        4.692            0      424.761      278.603      199.809
      220        0.838        4.717            0      426.796      267.159      203.769
      221        0.763        4.699            0      425.937      312.971      199.931
      222        0.808        4.670            1      422.585      281.243      200.567
      223        0.899        4.713            0      426.419      264.999      205.156
      224        1.065        4.610            1      425.267      281.158      192.509
      225        0.657        4.646            0      424.225      305.857      209.266
      226        0.817        4.624            1      421.991      274.940      196.896
      227        0.699        4.644            1      422.213      247.615      201.205
      228        1.000        4.646            1      427.072      278.465      201.404
      229        0.953        4.649            1      427.118      266.979      202.026
      230        0.731        4.720            1      426.828      270.466      199.208
      231        0.858        4.662            1      424.164      288.138      197.420
      232        0.822        4.658            0      421.447      314.393      201.401
      233        0.721        4.704            1      427.650      336.717      201.990
      234        0.851        4.706            0      427.360      264.433      198.552
      235        0.667        4.721            1      429.078      323.276      204.695
      236        0.833        4.668            1      422.864      303.946      198.211
      237        0.976        4.694            0      429.200      282.097      207.967
      238        0.771        4.699            1      426.882      282.834      198.849
      239        0.967        4.617            1      424.127      282.678      197.527
      240        0.614        4.717            1      430.410      308.800      201.031
      241        0.766        4.649            1      423.914      350.479      204.082
      242        0.791        4.751            0      429.135      325.133      196.701
      243        0.788        4.714            0      424.320      277.003      198.842
      244        0.685        4.735            1      428.123      260.144      202.371
      245        0.744        4.687            1      424.696      262.421      201.940
      246        0.748        4.674            0      426.547      250.434      203.999
      247        0.726        4.687            0      426.644      297.535      204.191
      248        0.719        4.673            1      426.405      252.904      198.937
      249        0.705        4.672            0      421.937      241.296      200.486
      250        0.618        4.618            1      419.268      319.835      207.078
      251        0.669        4.740            0      426.729      285.794      204.069
      252        0.602        4.674            1      422.306      286.320      202.125
      253        0.763        4.694            0      426.388      221.662      205.107
      254        0.745        4.686            0      425.262      279.253      207.489
      255        0.721        4.683            0      423.259      249.681      197.741
      256        0.688        4.710            0      424.752      285.748      205.637
      257        0.760        4.626            1      417.772      254.422      203.525
      258        0.701        4.665            1      425.451      267.058      204.941
      259        0.671        4.687            0      426.950      271.840      205.516
      260        0.669        4.708            1      426.892      232.854      202.079
      261        0.743        4.684            0      424.922      241.838      208.677
      262        0.782        4.711            0      427.410      246.425      204.432
      263        0.703        4.744            0      424.473      250.530      197.183
      264        0.635        4.693            1      423.687      302.020      202.667
      265        0.721        4.670            0      427.411      303.304      205.958
      266        0.851        4.710            1      424.377      273.723      198.582
      267        0.719        4.679            0      420.640      279.706      197.602
      268        0.721        4.687            0      430.159      294.211      203.915
      269        0.669        4.685            1      426.652      341.389      201.287
      270        0.641        4.665            0      423.816      276.980      200.424
      271        0.856        4.663            0      427.419      319.655      200.105
      272        0.772        4.669            0      423.840      307.096      200.893
      273        0.990        4.644            0      425.006      291.197      202.852
      274        0.710        4.682            1      424.258      300.575      201.605
      275        0.840        4.678            1      424.555      298.585      205.070
      276        0.739        4.708            1      425.570      289.456      205.519
      277        0.777        4.706            0      425.547      265.128      201.318
      278        0.827        4.683            1      427.767      340.290      201.664
      279        0.831        4.703            0      425.922      280.206      202.755
      280        0.589        4.642            1      423.023      322.236      201.140
      281        0.753        4.645            0      422.728      323.158      201.260
      282        0.656        4.703            0      422.694      359.988      198.354
      283        0.772        4.729            1      430.219      307.835      203.926
      284        0.641        4.697            0      424.571      350.337      205.802
      285        0.715        4.713            1      427.311      356.829      205.980
      286        0.628        4.718            1      426.607      349.728      198.709
      287        0.777        4.714            1      429.979      339.881      201.726
      288        0.654        4.711            0      427.750      305.639      206.342
      289        0.658        4.723            1      428.592      344.239      203.165
      290        0.790        4.732            0      426.974      344.584      205.853
      291        0.675        4.703            0      426.726      346.259      201.321
      292        0.797        4.681            1      420.794      335.759      200.773
      293        0.784        4.693            0      426.901      322.906      202.154
      294        0.642        4.670            1      422.236      367.736      199.405
      295        1.033        4.637            0      427.331      327.045      203.615
      296        0.985        4.601            0      426.712      392.389      198.763
      297        0.897        4.689            1      422.866      346.780      202.600
      298        0.684        4.720            0      426.074      316.414      200.976
      299        0.636        4.680            0      422.843      326.023      206.496
      300        0.846        4.604            0      422.530      321.521      207.703
      301        0.689        4.680            0      421.677      315.443      200.755
      302        0.932        4.692            0      430.477      280.273      205.630
      303        0.724        4.708            0      426.813      298.221      205.594
      304        0.660        4.701            1      421.421      293.657      193.857
      305        0.581        4.721            1      424.660      300.038      200.294
      306        0.785        4.666            0      424.827      287.184      203.285
      307        0.697        4.718            1      423.561      334.016      196.092
      308        0.589        4.705            1      425.229      362.951      204.024
      309        0.727        4.703            0      426.349      348.962      203.817
      310        0.642        4.706            1      423.894      356.695      196.741
      311        0.720        4.670            0      424.961      396.628      204.151
      312        0.705        4.733            1      422.987      372.068      204.359
      313        0.665        4.691            1      424.350      353.355      201.348
      314        0.647        4.741            0      428.787      353.889      201.792
      315        0.559        4.670            1      424.197      362.746      197.772
      316        0.584        4.640            1      421.986      317.993      203.908
      317        0.561        4.724            1      428.384      342.735      202.856
      318        0.690        4.696            0      423.990      296.814      204.671
      319        0.716        4.699            0      430.386      322.514      210.011
      320        0.707        4.672            0      425.250      317.384      200.895
      321        0.640        4.662            1      421.251      296.708      199.359
      322        0.693        4.679            0      423.693      268.984      197.943
      323        0.770        4.730            1      425.795      250.221      202.417
      324        0.673        4.729            0      426.025      277.294      201.784
      325        0.657        4.710            0      425.313      307.042      199.779
      326        0.655        4.721            1      425.302      332.265      207.852
      327        0.626        4.734            0      426.478      285.421      200.359
      328        0.765        4.712            0      426.147      284.166      205.834
      329        0.738        4.659            1      423.354      262.286      195.751
      330        0.692        4.711            0      426.064      279.248      198.075
      331        0.663        4.706            0      424.468      277.565      204.049
      332        0.650        4.671            0      425.687      276.649      206.106
      333        0.710        4.685            0      423.644      286.013      198.817
      334        0.571        4.725            0      426.398      314.917      208.177
      335        0.610        4.695            1      423.107      301.361      200.810
      336        0.654        4.688            0      422.984      294.906      205.932
      337        0.595        4.727            0      429.428      282.926      205.176
